"Gender","Age","Education","Income","Income2","Occupation","State","Relationship.Status","Obligation","Obligation2","NEP","Vacation.Behaviour","rest and relax","luxury / be spoilt","do sports","excitement, a challenge","not exceed planned budget","realise creativity","fun and entertainment","good company","health and beauty","free-and-easy-going","entertainment facilities","not care about prices","life style of the local people","intense experience of nature","cosiness/familiar atmosphere","maintain unspoilt surroundings","everything organised","unspoilt nature/natural landscape","cultural offers","change of surroundings"
"Female",25,6,"$30,001 to $60,000","30-60k","Clerical or service worker","VIC","single",4.8,"Q4",3.2,2.06666666666667,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Female",31,8,"$120,001 to $150,000",">120k","professional","WA","married",3.3,"Q1",3.4,2,"yes","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","yes"
"Male",21,3,"$90,001 to $120,000","90-120k",NA,"NSW","single",3.4,"Q2",3.06666666666667,1.23333333333333,"yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","yes","no"
"Female",18,2,"$30,001 to $60,000","30-60k","unemployed","NSW","single",2.63333333333333,"Q1",3.4,2.16666666666667,"yes","yes","no","no","yes","no","yes","yes","no","no","yes","no","no","yes","no","no","no","no","no","yes"
"Male",61,3,"Less than $30,000","<30k","retired","WA","married",3.4,"Q2",3.73333333333333,1.72413793103448,"yes","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no"
"Female",63,7,"$30,001 to $60,000","30-60k","retired","QLD","married",4.4,"Q4",4.26666666666667,3.3,"yes","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","no"
"Male",58,2,"Less than $30,000","<30k","retired","Tas","separated or divorced",3.43333333333333,"Q2",3.26666666666667,3.66666666666667,"yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","yes"
"Male",41,8,"$30,001 to $60,000","30-60k","manager or administrator","VIC","living with a partner",4.26666666666667,"Q4",4.26666666666667,3.23529411764706,"yes","yes","yes","yes","yes","no","yes","no","no","no","no","yes","yes","no","no","yes","no","yes","yes","yes"
"Female",36,8,"$90,001 to $120,000","90-120k","manager or administrator","NSW","separated or divorced",3.7,"Q2",2.93333333333333,2.74074074074074,"yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","yes","no","no","yes"
"Female",56,2,"$30,001 to $60,000","30-60k","retired","NSW","married",4.16666666666667,"Q3",3.6,2.75,"yes","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","yes"
"Male",30,8,"$120,001 to $150,000",">120k","professional","VIC","living with a partner",4.13333333333333,"Q3",3.6,2.93333333333333,"yes","no","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Male",40,6,"$120,001 to $150,000",">120k","manager or administrator","NSW","living with a partner",4.33333333333333,"Q4",3.93333333333333,3.17241379310345,"yes","no","no","no","no","no","yes","yes","no","no","no","yes","yes","no","no","yes","no","no","no","yes"
